"","SRR7624365","SRR7624366","SRR7624367","SRR7624368","SRR7624369","SRR7624370","SRR7624371","SRR7624372","SRR7624373","SRR7624374","SRR7624375","SRR7624376","SRR7624377","SRR7624378","SRR7624379","SRR7624380"
"ENSMUSG00000061702",119.4375,157.0625,225.0625,149.0625,124.5,158.75,268.59375,301.96875,512.25,434,646.15625,879,274.75,377.0625,113.0625,171
"ENSMUSG00000063439",312.9375,220.8125,184.25,257,368.1875,514.9375,394.625,481.5,588.0625,348,469.125,638,311.8125,227.3125,166.75,258.65625
"ENSMUSG00000002603",224,88.96875,119.875,126.3125,270,278.78125,276.0625,224.625,663.78125,246.6875,402.6875,615.875,204.9375,125.03125,64.4375,87.8125
"ENSMUSG00000002608",1227.0625,1008.6875,1278.4375,1039.125,1014.78125,905.4375,1181.25,1009.5625,1021.40625,826.375,910.9375,978.78125,1072.6875,707.75,910.5,812
"ENSMUSG00000040725",19428.125,19937.0625,16106.5625,15365.875,14422.6875,14634.25,16019.46875,14982.625,14451.75,16153.1875,12183.1875,13923.75,14369.8125,17579.375,19390.6875,19055.0625
"ENSMUSG00000002602",178.875,75.125,70.53125,72.6875,252.65625,339.53125,231.625,300.375,235.375,220,146.6875,138.3125,197.625,119.84375,321.71875,199.5
"ENSMUSG00000040703",443.8125,282.3125,188.5625,110.4375,422.21875,601.90625,752.21875,543.9375,454.25,383.375,63.3125,125.75,152.125,139.1875,165.40625,138.125
"ENSMUSG00000097017",36.8125,56.625,60.8125,22.5625,45.25,64.25,89.1875,91,97.1875,80.90625,154.1875,174.25,165.8125,254.6875,136.3125,240.5625
"ENSMUSG00000108415",22.375,20,20,20,26.5625,20,29.3125,43.8125,89.0625,79.9375,97.8125,116.03125,112.71875,92.9375,26.8125,26.75
"ENSMUSG00000030483",20,20,32.6875,20,119.9375,114,23.3125,20,20,20,20,20,20,20,20,20
"ENSMUSG00000040614",159.25,243.15625,203.3125,224.15625,401.8125,401.9375,306.59375,279.4375,180.5,319.3125,87.8125,191.625,20,37.125,20,20
"ENSMUSG00000040601",1171.625,1137.8125,930.875,839.3125,598.8125,559.5625,909.71875,1002.25,1175.9375,1991.53125,1006.34375,1359.15625,156.03125,551.0625,33.3125,26.75
"ENSMUSG00000091924",20,20,20,20,20,20,20,20,20,21.125,20,20,20,20,20,20
"ENSMUSG00000040650",596.8125,2330.1875,1752.84375,1400.28125,4739.375,3794.09375,4683.3125,4237.375,3386.9375,2967.71875,3440.8125,3334.9375,1133.625,1019.625,124.5,166.875
"ENSMUSG00000060407",20,20,20,20,38.625,38.8125,23.3125,20,20,20,20,20,20,20,20,20
"ENSMUSG00000078787",29.375,51.9375,33.8125,33,31.9375,20.4375,33.875,37.75,28.4375,45.0625,31.8125,44.1875,20,40.4375,21,20
"ENSMUSG00000058709",4329.125,3806.8125,4119.625,3527.0625,3088.625,3117.15625,3475.1875,3052.5,3172.4375,2383.9375,3520.25,3123.40625,3541.25,2799.9375,2534.3125,2272.1875
"ENSMUSG00000053291",141.9375,74.375,64.9375,85.75,44.1875,70.125,73.03125,73.8125,72.125,80.90625,61.0625,80.15625,89.5625,65.78125,65.46875,61.25
"ENSMUSG00000089661",104.59375,55.625,64.9375,73.9375,41.625,61.6875,95.03125,95.125,114.65625,142.1875,34.0625,51.3125,39.1875,37.125,25,31.4375
"ENSMUSG00000061479",6973.25,7129.625,5833.5625,6270.5,5117.6875,4620.4375,7404.125,7276.71875,7615.0625,7314.625,8457.0625,8257.0625,9963.375,9008.5625,7930.6875,7359.875
"ENSMUSG00000078786",1464.09375,1279.40625,1065.8125,985.53125,550.375,597.0625,713.6875,779.90625,707.75,853.34375,662.5625,908.375,467.5625,586.5625,270.75,233.5
"ENSMUSG00000003752",1445.25,1522.625,1300.40625,1257.4375,1187.96875,1133.875,878.8125,853.34375,641.75,629.125,749.0625,697,745.71875,628.625,767.125,686.4375
"ENSMUSG00000003762",994.8125,902.25,831.75,637.8125,507.875,479,659.5,694.28125,507.8125,660.625,622.6875,716.625,941.90625,911.125,676.4375,734.25
"ENSMUSG00000084974",31.3125,32.1875,20,20,20.4375,20.9375,21.0625,36.625,27.5,20,37.25,45.3125,37.25,29.6875,32.3125,24.4375
"ENSMUSG00000063160",1717.59375,1433.875,1390.84375,1148.0625,1466.375,1792.875,1266.125,983.78125,990.0625,995.25,1397.9375,1346.4375,1360.3125,1128.25,1450.25,909.4375
