"","SRR7624365","SRR7624366","SRR7624367","SRR7624368","SRR7624369","SRR7624370","SRR7624371","SRR7624372","SRR7624373","SRR7624374","SRR7624375","SRR7624376","SRR7624377","SRR7624378","SRR7624379","SRR7624380"
"ENSMUSG00000038866",2679.25,3252.3125,2514.96875,2492.53125,2362.4375,2362.71875,2441.625,2489.78125,2008.0625,2512.625,2131.3125,2465.8125,2299.125,2713.1875,2436.0625,2338.5
"ENSMUSG00000044340",2551.1875,2339,2455.5625,1810.40625,1682.125,1428.78125,1550.6875,1456.75,1440.5,2278.21875,1144.5,1600.25,1912.0625,2341.125,2721.4375,2847.5
"ENSMUSG00000103291",31.3125,70.25,32.6875,46.4375,20,28.25,20,39.9375,20,51.125,31.8125,44.1875,20,31.625,65.46875,43.25
"ENSMUSG00000057329",39.9375,26.28125,33.8125,49.3125,35.75,37,20,20,26.5625,20,30.6875,25.8125,140.8125,167.125,735.1875,521.375
"ENSMUSG00000009905",3432.5625,3416.0625,4109.3125,4368.25,3396.4375,3311.9375,2798.875,2665.1875,2642.75,2602,3021.0625,2716.3125,3229.375,4275.4375,5368.75,5662.5
"ENSMUSG00000009907",7179.375,7886.8125,9310.8125,9958.4375,9881.625,9391.4375,8205.6875,8574.375,8920.3125,9192.75,8707,8395.8125,8101.0625,7144.0625,8130.09375,7295.1875
"ENSMUSG00000067006",20,20,20,22.5625,20,20,20,20,20,20,20,20,37.25,20,69.15625,25.5
"ENSMUSG00000026315",91.625,84.0625,56.6875,54.75,338.0625,732.34375,26.4375,49.1875,20,20,20,20,20,20,20,20
"ENSMUSG00000086161",20,20,20,20,20,20,20,32.59375,44.0625,37.1875,20,20,20,20,20,20
"ENSMUSG00000100041",20,51.9375,20,33,45.25,22.9375,33.875,55.6875,54.6875,51.125,31.8125,20,20,20,20,20
"ENSMUSG00000026312",20,20,20,20,20,20,20,20,20,20,20,20,44.1875,20,20,42.125
"ENSMUSG00000038702",909.25,843.6875,1378.3125,1571.125,1120.4375,1225.5,580.9375,725.5625,605.625,918.5625,842.9375,918.5625,1146,1134.5625,2008.0625,1617.3125
"ENSMUSG00000097648",178.875,350.78125,264.8125,267.375,361.0625,522.625,447.3125,595.375,354.8125,642.78125,363.4375,478.875,131.5,273.4375,98.375,231.625
"ENSMUSG00000102030",22.375,20,22.5625,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000026374",10752.875,11160.6875,12708.8125,15139.0625,14032.1875,14712.3125,13939.34375,14022,15826.0625,13283.6875,16002.90625,14618.375,15668.6875,11444.75,11645.0625,10922.625
"ENSMUSG00000026377",6752.5,6404.1875,8693.3125,9862.84375,12843.5625,12628.75,13211.375,12889.375,18456,10416.6875,16145.75,13264.125,13386.5,6947.875,7246.4375,7174.75
"ENSMUSG00000099936",20,20,20,20,25.625,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000064302",6389.4375,8387.125,7145.96875,6815,7246.4375,7341.25,7695.75,7338.375,5549.5,7449.1875,6226.5625,7953.5,6955.53125,7571.9375,8946.6875,8789.625
"ENSMUSG00000107722",65.75,51.9375,81,104.875,68.5625,63.4375,86.8125,83.3125,130.8125,56.46875,249.9375,139.6875,190.03125,173.6875,66.4375,155.25
"ENSMUSG00000026380",132702.8125,134825.5,154579.6875,134825.5,51679.25,51050.125,32855.1875,33410.6875,6474,12228.5,955.9375,1313.875,580.65625,1308.3125,632.625,828.75
"ENSMUSG00000101624",33,41.9375,25.5625,24.6875,23.75,38.8125,25.46875,37.75,20,20,20,20,20,20,20,20
"ENSMUSG00000048402",6375.75,3812.03125,3583.875,2380.1875,1519.875,1030.625,2626.125,1800.1875,1701.03125,1799.125,994.65625,1261.25,1081.3125,923.125,733.625,489.4375
"ENSMUSG00000097408",20,20,20,20,20,20,20,20,20,24.75,20,20,20,20,20,20
"ENSMUSG00000037035",356.03125,767.625,232.5,375.09375,504.75,435.96875,654.6875,916.78125,170.6875,185.71875,20,20,20,20,20,20
"ENSMUSG00000004451",8982.625,7389.4375,6366.875,6368.21875,3555.375,3601.90625,3128.5,3527.875,2306.4375,2890.75,1084.375,1114.375,2547.5625,2299.90625,3509.25,3180.5625
"ENSMUSG00000098923",1666,1786.90625,2034.1875,2280.28125,1696.375,1811.15625,1778.65625,1601.3125,1764.96875,1610.53125,1362.46875,1131,914.0625,962.8125,615.625,908.375
"ENSMUSG00000101731",23.3125,47.4375,33.8125,37.125,20.125,25.5625,39.5625,38.875,20,26.6875,20,20,35.25,29.6875,25,25.5
"ENSMUSG00000026383",2965.8125,3737.9375,4578.53125,4323.09375,3390.75,3066.625,2718,2793.6875,2486.5,3249.25,3509.25,3871.53125,3001.875,3535.9375,5654.5625,5200.75
"ENSMUSG00000102687",20,24.4375,20,20,20,20,20,20,20,20,20,20,20,20,33.3125,20
"ENSMUSG00000026384",2556.9375,3322.3125,4462.625,4342.6875,4423.0625,4294.8125,4201.78125,4882.0625,4043.1875,6496.75,4793.375,4906.5625,3337.8125,5145.6875,4033,4157.25
"ENSMUSG00000091876",91.625,72.5625,102.4375,63.5,85.75,108.375,68.0625,89.9375,73.0625,54.1875,49.65625,24.625,32.6875,22.6875,20,20
"ENSMUSG00000103146",33.9375,110.59375,102.4375,134.09375,76,127.4375,128.5625,136.375,48.625,179.25,94.4375,135.875,38.375,73.8125,99.46875,117
"ENSMUSG00000036975",1015.6875,968,806.625,723.375,1138.875,1193.9375,1143.78125,1185.3125,1153.1875,1269.9375,1089.5625,1072.4375,1543.4375,1432.8125,1412.625,1811.90625
"ENSMUSG00000050777",103.84375,70.25,85.4375,81.75,104,98.875,58.9375,117.875,87.9375,85.21875,59.0625,51.3125,134.09375,124.25,97.21875,102.6875
"ENSMUSG00000026385",4892.59375,4735.625,5065.8125,7114.25,5608.25,5287.8125,6216.625,6386.9375,6817.3125,6218.6875,4533.46875,4764.25,5511.25,4631,5515,5360.25
"ENSMUSG00000026388",172.09375,181.375,197.375,157.1875,130.625,180.125,217.90625,155.4375,189,155.4375,230,164.3125,449.25,381.15625,424.5,435.125
"ENSMUSG00000026389",824.53125,860.53125,1467.375,2522.125,1123.25,766.1875,2480.625,1903.625,3272.6875,1962.75,1997.4375,1711.15625,2218,1509.28125,3510.8125,3308.96875
"ENSMUSG00000058665",36.8125,20,22.5625,20,30.125,40.875,35.75,20,54.6875,20,20,20,20,20,20,20
"ENSMUSG00000097881",20,20,20,20,49.4375,23.75,27.25,22.1875,20,27.5,20,34.09375,20,20,20,20
"ENSMUSG00000003721",1374.8125,1138.875,933.8125,1206.28125,1260.25,1315.8125,1049.25,1192.46875,1059.3125,1185.5,769.1875,931.0625,908.5,947.9375,1266.4375,1140.5
"ENSMUSG00000104253",46.0625,44.0625,49.3125,37.125,63.5625,51.25,76.8125,77.34375,26.5625,74.4375,33,34.09375,29.375,88.875,64.4375,54.6875
"ENSMUSG00000026339",4764.25,5088.75,3291.4375,3635.5625,4539.875,4613.3125,3417.8125,3378.78125,2186.25,3030,1334.53125,1667.8125,1909,2741.09375,3054.65625,3508.0625
"ENSMUSG00000085857",20,20,20,20,20,24.75,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000050534",20,20,20,20,20,20.4375,20,20,20,20,20,20,35.25,20,20,20
"ENSMUSG00000001674",5908.6875,5760.625,6551.90625,7389.4375,8780.375,8982.625,8093.5,8717.78125,9030.125,8257.0625,10412,10420.0625,10249.25,7707.59375,6192.25,7004.21875
"ENSMUSG00000026341",12494.0625,9258.25,12746.6875,11984.65625,14022,14041.75,11770.3125,11716.4375,12262.5,10657.125,9800.1875,9469.875,12832.6875,11964.0625,19248.5,17721.4375
"ENSMUSG00000026342",1235.5,1142.40625,993.875,1097.875,1049.1875,1405.9375,904.375,1133.875,1147.75,1186.9375,1159.53125,1043.625,1057.59375,1003.9375,2125.625,2155.4375
"ENSMUSG00000049690",37.75,50.375,67.0625,56.625,66.375,41.8125,86.8125,54.5,46.8125,20,28.4375,20,20,29.6875,37,28.0625
"ENSMUSG00000036155",2541.03125,3092.9375,3807.8125,3410,2518.46875,2604.0625,1924.6875,2002,1509.96875,1904.6875,1218.65625,1365.25,1078.0625,1203.8125,897,1324.78125
"ENSMUSG00000104039",20,20,20,20,20,20,20,20,20,20,20,23.5,20,20,20,20
"ENSMUSG00000104378",44.125,65.375,52.71875,40,41.625,45.3125,48.4375,52.375,20,56.46875,51.875,41.875,28.375,27.5625,32.3125,38.90625
"ENSMUSG00000099471",20,20,20,20,20,20.1875,20,33.625,56.6875,24.75,20,27.09375,26.375,38.125,20,20
"ENSMUSG00000065687",41.875,20,20,20,20,20,20,20,20,20,20,20,20,21.625,20,20
"ENSMUSG00000026347",55.75,52.875,63.875,43.125,20,20,20,20,20,20,20,20,30.4375,20,20,20
"ENSMUSG00000026348",29.375,23.5,46.125,46.4375,20,20,20,27.1875,20,22.1875,20,29.4375,20,27.5625,42.75,31.4375
"ENSMUSG00000102014",20,20,20,20,20,20,21.5,20,20,20,20,20,27.25,23.5,20,20
"ENSMUSG00000026349",11005.5,14272.5,8997.5625,9114.9375,7953.5,7306.0625,9006.6875,9082.1875,8149.625,11012.5625,9314.5,10080.5625,8079.625,10505.9375,10620.5,10134.1875
"ENSMUSG00000051590",20,20,20,20,20,20.4375,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000036104",4989.3125,4999.8125,5813.125,5465.3125,6099.625,6153.90625,5351.75,4858.9375,4568.25,5301.0625,4799.125,4417.375,3489.3125,4002.125,3781.75,3912.78125
"ENSMUSG00000036086",5599.25,6010.375,4964.1875,4480.375,2752.8125,2575.6875,4876.625,5263.625,5116.3125,6181.5,4583.6875,4570.875,3869.6875,4997,4290.3125,4775.5
"ENSMUSG00000099760",22.375,41.9375,20,20,29.3125,20.4375,40.71875,30.4375,23.40625,32.1875,30.6875,20,20,20,20,25.5
"ENSMUSG00000104164",210.5625,509.625,213.1875,172.03125,211.9375,163.9375,410.6875,346.15625,212.5625,560,323.9375,452.4375,119.875,361.15625,276,283.1875
"ENSMUSG00000058603",154.625,65.375,97.875,73.9375,80.3125,75.125,78.9375,87.8125,78.78125,92.9375,99.9375,71.75,126.6875,134.1875,101.25,102.6875
"ENSMUSG00000102782",44.125,104.5625,20,26.75,24.75,40.875,44.1875,65.375,35.375,45.9375,47.53125,101.1875,20,31.625,41.875,48.125
"ENSMUSG00000103999",23.3125,23.5,62.78125,34.9375,36.8125,40.875,44.1875,51.25,31.5625,42.125,77.375,46.75,20,37.125,32.3125,30.125
"ENSMUSG00000056211",2972.9375,5273.625,3567.8125,3647.375,3661.375,3847.5625,3824.3125,4247.4375,2876.3125,5461.40625,4107.5,5423.34375,2782.75,5390.0625,4107.5,4402
"ENSMUSG00000101535",20,34.09375,20,31.1875,20.125,20.1875,46.25,20,20,22.9375,20,41.875,20,20,20,20
"ENSMUSG00000104239",20,26.28125,53.875,45.3125,27.375,26.5,43,38.875,20,37.1875,42.53125,62.3125,28.375,28.5625,21.5,28.0625
"ENSMUSG00000102179",20,39.0625,45.1875,25.625,39.625,35.25,20,20,20,39.40625,20,20,20,33.875,23.3125,20
"ENSMUSG00000103497",34.96875,79.8125,42.90625,44.1875,28.375,48.28125,21.5,55.6875,20,55.3125,49.65625,71.75,20,47.375,49.0625,39.875
"ENSMUSG00000026353",6758.4375,6637.3125,8391.8125,8428.125,7792.125,7741.375,6595.4375,6651.75,6804.25,6339.21875,6734.6875,6051.75,6404.1875,5805.375,6252.6875,6073.1875
"ENSMUSG00000026354",22.375,35.125,81,45.3125,20,23.75,30.125,23.1875,28.4375,20,36.4375,44.1875,52.9375,28.5625,20,20
"ENSMUSG00000026355",38943.0625,45189.6875,43700.375,47261.8125,44172.75,42313.0625,49244.875,45815.625,56507.4375,55501.5625,48448.0625,48763.875,44933.9375,50333.3125,38657.8125,40112.375
"ENSMUSG00000026356",20822.25,18456,20001.75,20272.6875,18803.90625,18050.0625,16616.3125,18363.875,16927.6875,17814.4375,15849.3125,14278.375,16361.25,18363.875,15402.1875,16455.25
"ENSMUSG00000100078",96.65625,60.6875,88.96875,57.75,63.5625,81.65625,47.375,100.625,35.375,62.4375,65.59375,44.1875,64.9375,80.6875,57.25,97.3125
"ENSMUSG00000045382",438.75,293.5,110.75,128.875,76,115.9375,77.5625,63.4375,37.25,37.1875,25.0625,24.625,35.25,84.25,67.3125,46.8125
"ENSMUSG00000097283",20,20,20,20,20,20,20,20,25.5,20,20,20,20,20,20,20
"ENSMUSG00000042581",20,20,39.875,61.125,50.5,54.875,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000087691",46.0625,118.8125,113.375,112.6875,47.625,56.6875,63.875,68.375,20,78.1875,20,20,20,20,24.25,20
"ENSMUSG00000086825",90.75,261.625,203.3125,213.375,118.75,101.1875,138.78125,139.875,35.375,121.5,26.3125,20,20,26.6875,39.4375,36.75
"ENSMUSG00000026399",2065.3125,2142.625,3769.8125,3092.4375,2334.875,2389.34375,1950.3125,1710.125,1185.3125,1449.0625,254.4375,186.3125,353.21875,358.78125,640.875,458.71875
"ENSMUSG00000026405",20,20,20,20,46.875,50.3125,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000026409",1119.0625,1585.28125,1189.53125,994.25,529.25,650.125,527.65625,446.9375,301.46875,473.875,435.125,380.125,388,514.375,323.0625,360.25
"ENSMUSG00000046404",817.03125,857.4375,1835.625,1553.3125,617.6875,685.4375,629.125,512.4375,428.75,454.96875,484.875,462.375,401.84375,555.96875,435.5,444.21875
"ENSMUSG00000104515",20,21.6875,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000042510",265.21875,88.96875,274.375,149.0625,75.125,86.8125,60.0625,20,20,20,20,20,30.4375,20,20,20
"ENSMUSG00000016529",20,20,20,20,20,20,20,20,174.5,118.09375,314.6875,209.5625,140.8125,226.125,170.28125,100.3125
"ENSMUSG00000016528",2199.625,1601.9375,2379.375,2460.625,2166.8125,2375.25,1693.8125,1713.8125,1823.5625,1457.8125,1873.625,1750.5625,2150.25,2187.75,2957.75,2400.875
"ENSMUSG00000102856",25.125,82,70.53125,45.3125,20,31.5625,26.4375,34.625,20,20,29.5625,63.5,20,28.5625,75.25,48.125
"ENSMUSG00000016526",4071.71875,3849.8125,4228.625,7106.65625,5129.78125,5623.03125,5462.3125,5135.8125,5270.4375,4177.4375,5122.90625,4441.5625,4649.1875,3253.25,2017.53125,2246.5625
"ENSMUSG00000026427",11077.5,10850.4375,9141.5625,10106.1875,8789.625,8580.5,11837.25,11465.3125,14194.3125,11458.5625,10676.59375,10024.75,12719.25,9472.0625,8999.125,9194.625
"ENSMUSG00000026430",215.125,302.0625,158.5,239.625,151.125,161.3125,172.1875,161.3125,139.6875,107.1875,214.75,191.625,308.75,184.09375,140.53125,146.03125
"ENSMUSG00000042349",130.84375,166.0625,157.09375,146.875,203.8125,106.625,229.8125,278.34375,383.0625,301.5,520.9375,485,209.625,246.59375,62.65625,39.875
"ENSMUSG00000026425",7881.125,8685.6875,5946.625,6360.3125,7147.875,7650.5625,8099.1875,8235.875,7783.9375,8724.8125,5807.25,6339.21875,5264.5625,5156.8125,7514.1875,6241.6875
"ENSMUSG00000102733",22.375,43.0625,20,33,26.5625,47.125,43,20,40.96875,33,30.6875,20,20,21.0625,24.25,45.5
"ENSMUSG00000104060",28.34375,62.625,30.5,33,24.75,42.75,23.3125,30.4375,23.40625,41.125,25.0625,23.5,20,20,40.25,23.3125
"ENSMUSG00000101778",80.625,233.9375,69.3125,195.75,70.125,106.625,43,120,44.0625,128.75,42.53125,114.84375,20,80.6875,118.6875,143.21875
"ENSMUSG00000055184",470,458.96875,1178.5625,1384.625,816.28125,1072.90625,868.5,826.625,999.90625,784.625,896.78125,734.15625,759,709.0625,513.8125,511.5
"ENSMUSG00000052688",20,20,20,26.75,33.875,47.125,58.9375,48.125,111.8125,88.71875,40.5625,45.3125,20,20,20,20
"ENSMUSG00000042268",56.6875,151.34375,67.0625,79.53125,80.3125,118.4375,56.875,41.8125,74.6875,26.6875,54.90625,20,64.125,22.6875,25,20
"ENSMUSG00000042251",867.0625,826.375,808.1875,734.875,626.1875,530.625,1143.78125,903.53125,771.4375,624.1875,450.28125,293.6875,610.625,348.875,533.0625,424.3125
"ENSMUSG00000013275",4255.5,5175.9375,5935.375,6066.6875,5903.1875,5662.5,3563.375,3167.96875,1610.03125,2067.75,1352.6875,1469.3125,1176.78125,1365.09375,1527.25,1433.875
"ENSMUSG00000026433",518.25,525,420.5625,601.375,693.6875,686.78125,529.1875,498.3125,195.3125,270.625,42.53125,65.75,104.3125,70.125,106.875,117
"ENSMUSG00000026434",48626.4375,48183.3125,50831.625,55149.15625,58099.4375,53597.9375,51679.25,48940.625,46536.6875,45341.8125,44172.75,41109.125,39666.9375,36423.25,49867.625,40294.625
"ENSMUSG00000103569",138.9375,298.4375,516.0625,435,331.9375,363.3125,326.4375,305.75,129.875,305.5625,312.5,353.5625,94.875,190.09375,156.8125,229.6875
"ENSMUSG00000026435",335.15625,418.375,428.84375,385.5,363.875,325,420.5,380,227.5,344.4375,274.75,301.125,225.4375,179.9375,284.9375,190
"ENSMUSG00000026436",861.875,999.90625,1622.75,1501.78125,936.1875,1091.125,770.75,903.53125,751.0625,890.65625,937.75,1198.1875,722.40625,895.5625,774.625,899.125
"ENSMUSG00000059149",401.71875,416.5,573.53125,589.5,293.25,418.1875,264.75,394.96875,320.1875,365,386.3125,678.6875,311.8125,319.8125,283.4375,300.53125
"ENSMUSG00000103966",22.375,21.6875,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000026437",971.0625,987.90625,750.6875,725.5625,582.625,472.5,673.5625,568.5,446.5625,558.875,316.1875,398.78125,739.65625,667.375,1070,974.25
"ENSMUSG00000079330",49.4375,64.4375,85.4375,33.875,100.1875,101.1875,107.6875,86.8125,57.75,83.3125,112.1875,71.75,20,20,36.125,20
"ENSMUSG00000118219",152.5,173.1875,313.5,150.1875,449.25,385.0625,462.4375,408.40625,306.875,561.3125,402.6875,495.3125,68.5625,153.1875,190.5,165.21875
"ENSMUSG00000065435",20,20,20,20,22.9375,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000097540",31.3125,40,109.4375,48.375,125.4375,146.25,182.875,185.15625,108.6875,177.3125,130.625,135.875,20,56.6875,27.875,30.125
"ENSMUSG00000101549",93.125,95.375,98.9375,58.875,33.875,60.0625,46.25,51.25,31.5625,21.125,20,20,20,20,20,20
"ENSMUSG00000089808",50.375,36.125,38.875,56.625,125.4375,135.28125,175.46875,198.0625,197.4375,135.875,174.5,145.625,28.375,40.4375,20,20
"ENSMUSG00000042115",20,30.4375,44.125,38.1875,251.625,372.125,34.9375,36.625,20,20,20,20,20,20,20,20
"ENSMUSG00000009772",599.25,482.53125,309.5,453.875,849.21875,920.25,910.5625,862.5,596.125,670.65625,672.8125,594.4375,787.96875,924.84375,923.125,917.90625
"ENSMUSG00000100658",20,20,36.9375,43.125,22.9375,42.75,20,20,20,25.625,20,20,20,20,20,20
"ENSMUSG00000042066",498.21875,604.625,569.5625,402.125,514.375,457.59375,398.3125,402.28125,218.21875,249.875,126.6875,211.1875,335.15625,281.6875,561.03125,633.0625
"ENSMUSG00000042046",1875.625,2609.03125,2043.875,1943.875,3165.53125,2742.875,2298.8125,2450.28125,848.8125,1171.875,463.1875,709.25,628.34375,700.9375,1167.78125,1127.625
"ENSMUSG00000097760",51.0625,60.6875,95.125,92.125,95.375,120.96875,112.1875,144.15625,75.6875,51.125,42.53125,45.3125,42.125,37.125,55.59375,93.3125
"ENSMUSG00000026439",7271.1875,9851.875,9814.46875,9976.84375,12415.8125,11570.125,12456.5625,12128.875,5605.4375,6747.9375,5531.1875,5605.4375,5371.34375,5546.25,4518.3125,4673.0625
"ENSMUSG00000048174",405.78125,686.875,410.8125,468.5625,445.9375,492.25,700.9375,758.1875,227.5,438.125,212.09375,299.3125,173.53125,367.3125,193.5625,327.0625
"ENSMUSG00000053024",317.6875,277.5625,200.6875,230.6875,161.96875,118.4375,243,298.125,113.875,214.3125,737.8125,802.9375,1120,631.25,977.375,732.65625
"ENSMUSG00000026442",214.3125,366,232.5,347.6875,127.5,146.25,137.1875,187.875,241.78125,395.71875,715.3125,977.1875,1903.625,2059.90625,3366.375,3331.4375
"ENSMUSG00000101126",20,20,20,20,20,20,20,20,20,20,54.90625,83.8125,20,32.75,67.3125,33.625
"ENSMUSG00000026443",1162.0625,820.40625,538.625,742.5,318,199.1875,997.4375,709.25,1221.375,613.9375,503.0625,515.96875,143.84375,64.9375,29.6875,52.40625
"ENSMUSG00000054387",23747.25,38943.0625,24425.125,25543.375,20670.5,21742.1875,21140.5625,22330.0625,13592.3125,21859.0625,10961.71875,12476.1875,8164.125,14169.5625,11971.5,13524.25
"ENSMUSG00000100228",20,20,20,20,20,20.1875,21.5,20,20,20,20,20,20,20,20,23.3125
"ENSMUSG00000026447",778.0625,1089.5625,594.5625,679.28125,633.28125,570.0625,925.21875,1006.125,897.875,1089.8125,307.3125,586.5625,419.1875,537.46875,377.3125,427.84375
"ENSMUSG00000102425",51.9375,33.1875,72.6875,78.40625,55.78125,82.3125,46.25,43.8125,100.3125,70.75,168.0625,128.8125,75.59375,130.8125,56.5625,112.6875
"ENSMUSG00000046062",21901.75,17965.625,21590.25,16890.5,12166.625,12108.8125,11861.375,11160.6875,11124.375,13690.4375,13106.15625,13035.5625,16200.1875,14359.75,16200.1875,14001.0625
"ENSMUSG00000041757",394.8125,665.0625,251.875,307.46875,88.25,79.875,219.9375,200.78125,302.6875,257.5,196.9375,165.78125,232.875,203.0625,206.3125,112
"ENSMUSG00000103421",20,30.4375,20,20,20,20.9375,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000115958",48.5625,34.09375,25.5625,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000070645",51.9375,51.1875,78.9375,61.125,77.125,94.875,144.5625,120,114.65625,122.5625,23.1875,20,20,20,20,20
"ENSMUSG00000070644",526.25,885.03125,587.875,747.59375,883.75,846.90625,1316.5,1452.9375,697.1875,695.6875,129.15625,134.4375,199.125,129.875,315.53125,168.4375
"ENSMUSG00000070643",1477.8125,1644.6875,1359.9375,1289.6875,2032.9375,1673.25,2118.78125,1828.625,1549.6875,1341.0625,1015.25,1177.125,729.5,758.375,449.875,445.875
"ENSMUSG00000090553",10524.71875,9262.5625,9927.4375,12241.40625,9752.75,11708.4375,9912.375,11570.125,13630.5625,11175.8125,11655.75,11845.5,16839.4375,12295,12708.8125,12628.75
"ENSMUSG00000097014",20,29.5,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000102976",804.40625,1005.15625,955.8125,1255.6875,763.25,893.8125,672.625,692.5,499.875,798.4375,438.125,592.625,341.03125,558.8125,455.65625,385
"ENSMUSG00000094410",584.65625,752.125,750.6875,790.625,657.0625,624.0625,512.09375,563.375,329.90625,550.78125,317.8125,313.28125,282.875,383.21875,311.4375,250.9375
"ENSMUSG00000051998",139.8125,197.96875,191.625,263.8125,465,647.8125,457.34375,565.875,328.625,297.1875,20,35.5,20,20,20,20
"ENSMUSG00000026463",2066.84375,3293.25,2483.25,2147.6875,1731.75,1957.5,2034.1875,2062.5625,1271.125,1692,881.375,1250.75,322.90625,375.4375,122.6875,163
"ENSMUSG00000020423",4164.34375,3099.53125,8755.5,8009.25,3270.3125,2515.75,3942.1875,2781.1875,2756.8125,1960.0625,2692.5625,1745.46875,3332.03125,2525.4375,4913.125,4100.8125
"ENSMUSG00000102380",33,20,40.875,20,20,20,27.25,29.375,20,24.75,20,33,20,81.875,133.25,190
"ENSMUSG00000026450",55.75,28.5625,37.75,24.6875,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000064246",85,56.625,48.375,57.75,20,22.1875,20,20,20,20,20,20,39.1875,25.5625,42.75,20
"ENSMUSG00000042429",20,20,20,20,20,20,20,20,20,20,20,20,28.375,20,20,20
"ENSMUSG00000026459",20,20,20,20,20,20,20,20,20,20,25.0625,33,26.375,20,20,20
"ENSMUSG00000026458",2808.25,4595.9375,2074.4375,1642.4375,822.125,674.4375,1329.15625,1539.875,1817,3118.5,3554,4516.5625,2620.25,5308.1875,1995.4375,1898.9375
"ENSMUSG00000042305",8161.1875,7585.3125,9908.5,10335.40625,7744.25,8844.75,7483.0625,8085.5625,8181,7740.125,9770.3125,9238.8125,8641,7638.375,8156.25,8610.75
"ENSMUSG00000050526",20,20,20,20,38.625,42.75,37.5625,40.875,20,20,20,20,20,20,20,20
"ENSMUSG00000026456",9942.125,11124.375,7451.6875,6701.25,7000,7075.5,9518.90625,8989.28125,8125.5625,9141.5625,9577.25,10150,7616.9375,12855.5,11297.5625,13283.6875
"ENSMUSG00000026457",10420.0625,8592.5,9082.1875,8522.1875,11415.5,10865.125,11050.4375,10586.9375,11602.1875,9812.3125,8330.6875,8557.3125,9621.6875,8339,13473.125,13119.75
"ENSMUSG00000101061",51.9375,72.5625,65.75,33,24.75,47.125,50.5,50.3125,38.375,58.4375,42.53125,40.8125,20,29.6875,20,20
"ENSMUSG00000102722",20,20,20,20,20,20,20,20,20,20,20,20,20,32.75,41.875,49.125
"ENSMUSG00000026455",4610,4196.75,5304.6875,4558.75,5120.375,5110.9375,4764.25,4889.0625,5485.625,5350.25,5588.1875,5169.9375,6447.375,6577.28125,5191,5226.46875
"ENSMUSG00000042229",4843.4375,3730.28125,4247.4375,4264.4375,4481.15625,4549.84375,4123.53125,3861.4375,3785.125,3221.625,2905.1875,2841.6875,2762.0625,2464.375,2249.3125,2146.8125
"ENSMUSG00000046367",40.875,43.0625,83.40625,111.8125,45.25,91.4375,77.5625,85.75,60.5,86.875,96.4375,85.3125,60.9375,49.25,21,30.125
"ENSMUSG00000042207",65924,71839.375,105928.1875,85822.125,86658.1875,70386.9375,78176.1875,72085.125,52143.3125,70386.9375,56726.1875,62423.4375,40839,36534.125,39760.375,36009.5625
"ENSMUSG00000097435",20,192.8125,76.5,87.5,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000026452",20,36.125,54.875,26.75,20.125,20,21.5,20,20,20,43.4375,98.6875,102.375,108.25,123.46875,129.9375
"ENSMUSG00000073557",447.9375,548.8125,642.4375,605.625,455.125,475.28125,447.3125,377.65625,311.25,410.8125,367.03125,538.625,441,677.09375,526.25,559.0625
"ENSMUSG00000103976",70.25,108.4375,73.8125,94.28125,82.1875,57.5625,86.8125,52.375,33.625,90.71875,84.375,95.125,36.4375,55.5625,97.21875,106.8125
"ENSMUSG00000101168",20,20,20,20,20,20,20,20,20,20,20,25.8125,20,20,21,20
"ENSMUSG00000026429",2296.375,2163.75,2156.6875,2228.375,2111.625,2143,2181.75,2238.9375,2589.40625,3019.4375,2805.25,2958.8125,3327.375,4494.8125,5259.75,5282.9375
"ENSMUSG00000042793",33,45.9375,32.6875,40,22.9375,37,33.875,40.875,30.53125,33.8125,27.25,20,161.5625,56.6875,113.0625,67.1875
"ENSMUSG00000097993",1158.9375,1268.25,740.625,1043.625,374.3125,426.59375,912.875,743.8125,1184.125,960.28125,1103.9375,1036.75,1184.0625,749.0625,326.71875,274.9375
"ENSMUSG00000097988",20,20,20,21.5,20,20,20,25.0625,25.5,20,26.3125,20,20,20,20,20
"ENSMUSG00000031506",115.90625,58.75,58.5,96.1875,101.0625,93.84375,109.78125,88.9375,192.8125,153.1875,305.875,278.4375,204.125,143.84375,65.46875,46.8125
"ENSMUSG00000026426",2094.0625,1778.25,1469.9375,1465,982.90625,888.84375,1154.125,990.4375,1094.09375,1006.5625,1179.53125,984.4375,1444.25,1212.125,1767.125,1220.5
"ENSMUSG00000087721",20,21.6875,20,20,20,20,20,20,20,20,20,20,20,20,21,20
