"","genes","SRR7624365","SRR7624366","SRR7624367","SRR7624368","SRR7624369","SRR7624370","SRR7624371","SRR7624372","SRR7624373","SRR7624374","SRR7624375","SRR7624376","SRR7624377","SRR7624378","SRR7624379","SRR7624380","width"
"2483","ENSMUSG00000020841",3541,3676,3553,3372,4355,3826,2935,2662,2081,2467,1830,1567,3068,2941,5295,4509,68595
"2484","ENSMUSG00000020843",3012,2149,2053,2407,2772,2980,2713,2246,2682,1757,2423,1746,3001,2314,2127,2017,9341
"2485","ENSMUSG00000020844",4729,3659,2846,4199,3570,2937,3970,3361,6680,5045,7933,4987,12082,6561,6774,7083,141943
"2486","ENSMUSG00000020846",78,108,210,154,124,82,64,24,80,24,111,86,494,241,549,342,8589
"2487","ENSMUSG00000020847",146,56,105,47,20,20,23,24,25,36,33,22,68,69,169,135,107431
"2488","ENSMUSG00000020848",51,43,52,53,27,25,20,20,20,20,20,20,20,20,20,20,27084
"2489","ENSMUSG00000020849",50607,34743,29436,35354,38635,44722,35100,35290,40230,34925,35023,27957,46479,37793,45789,38518,32977
"2490","ENSMUSG00000020850",69708,74925,49920,65325,61132,74460,61074,66962,54459,75752,77017,79511,82960,72190,57291,63603,22634
"2491","ENSMUSG00000020857",1623,886,819,774,922,1071,928,810,1061,828,960,702,1315,926,962,920,6446
"2492","ENSMUSG00000020859",7036,6785,5295,5045,4284,6151,3196,3559,2630,4267,3407,3008,3557,3618,5277,4229,129995
"2493","ENSMUSG00000020863",10349,12342,9231,10295,13462,15946,13136,13584,13167,13383,15011,9587,11470,10316,11612,9516,34099
"2494","ENSMUSG00000020864",5120,2883,3180,3232,3955,3728,3676,3055,4051,2669,3475,2669,5261,3302,5366,3822,13841
"2495","ENSMUSG00000020865",20,52,42,73,486,711,111,101,33,20,20,20,20,20,72,52,49703
"2496","ENSMUSG00000020866",20,20,20,20,27,20,26,26,78,56,392,363,442,163,153,151,65808
"2497","ENSMUSG00000020867",20,20,20,20,20,20,20,20,26,20,20,20,31,20,20,20,7276
"2498","ENSMUSG00000020868",3983,2660,1954,2046,2539,2432,2729,2323,2485,2111,2040,1899,2316,1511,1838,1513,13665
"2499","ENSMUSG00000020869",21619,15717,16357,20452,19204,20928,20139,17409,20611,15202,16982,13821,26061,15244,17137,13447,15450
"2500","ENSMUSG00000020872",20,79,23,42,37,42,64,47,88,84,133,77,43,27,32,34,7737
"2501","ENSMUSG00000020873",3431,2654,3346,4191,5246,5258,5732,5642,6514,3972,5035,3750,5716,2744,3181,2413,7085
"2502","ENSMUSG00000020875",223,348,668,568,160,157,160,122,74,20,26,28,26,27,20,20,5139
"2503","ENSMUSG00000020876",1599,1270,1009,1130,1960,2072,2436,2033,4109,2494,3550,2535,2729,2141,1546,1068,10005
"2504","ENSMUSG00000020877",1083,685,597,483,546,531,627,556,575,530,407,338,896,570,1287,916,4021
"2505","ENSMUSG00000020878",55,21,20,23,41,46,39,30,49,28,48,45,68,42,71,49,6806
"2506","ENSMUSG00000020882",1420,1098,440,482,318,370,266,379,258,308,409,371,628,462,571,375,21527
"2507","ENSMUSG00000020883",5063,4532,2916,2929,3066,2435,3049,2733,2757,3429,2041,1764,3342,3465,6995,5501,67848
"2508","ENSMUSG00000020886",64,87,136,139,98,94,159,162,462,320,1833,1374,2280,1415,1154,828,30581
"2509","ENSMUSG00000020887",20,20,20,20,20,20,20,20,20,20,20,20,20,20,39,31,2302
"2510","ENSMUSG00000020888",12999,8695,5483,5041,3973,3970,4893,3716,5748,4634,5086,3792,6122,4229,5664,3121,11707
"2511","ENSMUSG00000020889",498,302,150,208,253,199,249,240,246,190,294,205,304,200,328,214,7402
"2512","ENSMUSG00000020890",20,20,20,20,20,20,20,20,20,24,33,24,59,40,28,37,18920
"2513","ENSMUSG00000020891",20,22,40,41,54,30,45,51,70,20,26,47,42,64,20,38,13912
"2514","ENSMUSG00000020892",80,74,61,48,25,25,20,20,20,20,20,20,29,44,75,83,23220
"2515","ENSMUSG00000020893",1466,948,513,470,572,582,853,665,903,885,1065,1182,1289,1015,1449,860,14744
"2516","ENSMUSG00000020894",860,551,444,358,422,422,474,454,410,528,326,348,286,340,498,317,3895
"2517","ENSMUSG00000020895",1122,780,572,666,876,918,1022,1070,1538,1121,1082,916,1979,1163,1559,982,2488
"2518","ENSMUSG00000020897",7541,5630,4562,5467,7288,8504,7909,6843,8408,7138,6742,5502,7358,5579,7570,5427,6018
"2519","ENSMUSG00000020898",12113,10475,6906,6734,6420,5957,8991,7187,8460,8802,6721,5374,7896,6153,11235,7285,20563
"2520","ENSMUSG00000020899",32550,30074,15266,20601,16493,19677,22418,21060,24013,24045,31115,27335,32439,26502,24222,20186,22764
"2521","ENSMUSG00000020900",6364,7258,6867,7577,9014,7610,7736,7689,6841,11360,14964,12421,19323,20439,32949,29391,125074
"2522","ENSMUSG00000020901",20,20,20,20,20,20,20,20,20,20,20,20,98,72,134,151,65729
"2523","ENSMUSG00000020902",7560,4244,2819,3410,2857,2145,6230,4355,3278,2157,426,321,127,75,636,253,191460
"2524","ENSMUSG00000020903",2229,1682,1587,1393,1479,1664,1154,1339,1541,1375,1121,843,1465,1060,1423,1224,240956
"2525","ENSMUSG00000020904",117,44,57,59,20,32,29,20,20,30,20,20,83,49,108,63,40846
"2526","ENSMUSG00000020905",697,535,455,253,398,426,335,267,219,309,176,178,377,230,646,333,67631
"2527","ENSMUSG00000020908",131,183,100,146,214,272,480,465,697,817,893,796,675,626,396,344,23992
"2528","ENSMUSG00000020910",1427,1238,819,1054,1479,1811,1583,2002,1609,1635,1195,988,1997,1107,1723,1187,14690
"2529","ENSMUSG00000020911",98,34,20,24,133,284,79,66,24,42,55,42,116,90,390,152,7856
"2530","ENSMUSG00000020912",20,20,20,20,20,20,20,20,20,20,26,34,103,44,33,44,6594
"2531","ENSMUSG00000020914",100336,99813,89673,96801,112312,132367,95963,97429,97248,135363,140670,108098,127466,117082,101580,96938,31247
"2532","ENSMUSG00000020917",86468,74768,61919,74890,68291,67495,63412,65236,55696,62103,56327,44004,66491,41821,41178,35457,51648
"2533","ENSMUSG00000020918",11030,6471,5114,4973,6800,6061,8787,6789,9658,6328,6663,5478,8796,4495,8147,5015,7720
"2534","ENSMUSG00000020919",1710,1014,690,884,794,762,630,527,234,429,88,138,499,529,1424,1203,69994
"2535","ENSMUSG00000020921",3079,1856,1513,1723,1716,1788,1846,1627,1820,1400,1304,1059,2039,1490,1943,1643,3859
"2536","ENSMUSG00000020922",7187,3959,3799,4883,5089,6005,4593,4617,6283,4677,6157,4924,8520,4875,6073,4268,22800
"2537","ENSMUSG00000020923",28719,21683,22724,24013,33843,37818,32040,29162,33694,25984,24819,19515,23462,17334,16092,13601,15183
"2538","ENSMUSG00000020925",12200,11397,12377,12204,12812,13127,7971,7537,7166,6033,5857,4308,7513,6223,6341,5050,13097
"2539","ENSMUSG00000020926",235,196,233,128,68,63,49,34,56,40,65,96,264,176,299,223,18824
"2540","ENSMUSG00000020928",20,20,24,20,20,22,20,20,20,20,20,20,20,20,20,20,2192
"2541","ENSMUSG00000020929",23622,19530,13487,16876,16925,19117,18957,18249,20063,19029,21424,19152,28702,19590,20291,17887,42513
"2542","ENSMUSG00000020930",28,20,20,20,24,52,23,44,76,36,59,30,87,52,73,46,4013
"2543","ENSMUSG00000020932",20,22,20,29,20,20,20,20,20,20,20,20,51,24,20,33,13577
"2544","ENSMUSG00000020935",6187,4274,3605,4021,4277,3998,5788,5224,7450,5265,7385,5608,10656,5740,5852,5072,34287
"2545","ENSMUSG00000020936",19919,15464,13247,15096,17804,18400,19921,17664,23615,17202,19520,14524,19102,13881,15692,12761,40723
"2546","ENSMUSG00000020937",1046,595,307,407,1019,1255,931,790,637,607,165,177,340,218,476,365,31355
"2547","ENSMUSG00000020940",20,20,20,20,20,20,24,20,20,20,20,23,51,48,52,47,9615
"2548","ENSMUSG00000020941",231,140,148,158,125,121,152,161,260,130,158,133,234,113,171,104,47711
"2549","ENSMUSG00000020946",5671,3784,3538,3944,5578,6024,5510,5133,7410,4375,6763,4283,7944,4990,5074,4211,21050
"2550","ENSMUSG00000020948",2148,1721,1652,1956,1943,2066,1359,1184,1034,1487,906,671,906,1110,1512,871,26702
"2551","ENSMUSG00000020949",21789,19070,16531,17945,18279,20365,13168,14110,14505,12412,11990,9638,18476,14619,16553,13553,11584
"2552","ENSMUSG00000020952",8283,5249,7147,6766,7440,8706,5344,5379,4632,4259,3525,2595,4305,3912,5244,4969,72592
"2553","ENSMUSG00000020953",33,101,108,133,362,588,188,104,148,69,219,159,193,131,270,122,12431
"2554","ENSMUSG00000020954",7300,5614,7218,7318,8657,11169,7306,7296,8843,8228,7244,5683,6755,6633,7928,6011,82266
"2555","ENSMUSG00000020955",374,290,331,532,712,990,624,588,838,512,752,508,863,518,693,553,53754
"2556","ENSMUSG00000020956",1928,1189,1091,1095,1271,1279,1257,1168,1614,1176,1051,1013,1401,914,1178,1109,18190
"2557","ENSMUSG00000020961",1933,1805,2321,3032,3336,3370,4151,3757,5753,4547,4312,3535,6009,5038,5559,3808,155379
"2558","ENSMUSG00000020962",7379,6735,7893,9009,10390,10430,9988,8653,7939,6455,5736,3940,5122,4058,6740,5116,35226
"2559","ENSMUSG00000020963",20,20,28,20,20,20,20,20,20,20,20,20,20,20,25,20,165246
"2560","ENSMUSG00000020964",7699,6695,5108,5428,7269,7736,5772,5290,4274,4563,3071,2363,3191,2893,4274,3264,43115
"2561","ENSMUSG00000020973",391,255,223,309,288,260,263,267,391,281,310,258,530,258,270,204,9343
"2562","ENSMUSG00000020974",3830,2777,2319,2863,3443,3686,3577,3531,3973,3594,3052,2274,4156,2662,2963,2387,26423
"2563","ENSMUSG00000020978",4347,2334,2581,2604,2888,3575,1756,1897,2737,2336,3259,2604,7478,4962,9892,7825,14007
"2564","ENSMUSG00000020982",8457,7824,7981,7951,9377,9699,8023,8139,7275,7922,9149,6298,9444,7427,8515,7351,46644
"2565","ENSMUSG00000020986",16283,11801,12652,12433,12189,13235,9938,9817,8526,8964,7115,5391,5938,4943,7010,5364,53635
"2566","ENSMUSG00000020988",5179,5226,5103,5077,6797,6262,6149,5191,7088,6712,6305,4883,6240,5535,4537,4217,34441
"2567","ENSMUSG00000020990",20,20,20,20,20,29,25,20,56,20,46,31,120,40,157,120,44420
"2568","ENSMUSG00000020992",20,29,20,23,22,21,20,21,20,21,21,20,20,21,45,38,50192
"2569","ENSMUSG00000020993",2684,1756,1853,1992,2018,2295,1598,1784,2194,1885,1427,1077,1541,1399,1806,1313,18381
"2570","ENSMUSG00000020994",7109,9253,7612,8833,9350,11131,9643,9509,9668,9491,12848,7513,10567,8322,9314,7963,7115
"2571","ENSMUSG00000021000",6661,4217,4350,4528,4977,5403,3271,3825,3842,3667,3329,2865,5393,3794,5477,4824,95785
"2572","ENSMUSG00000021003",1624,1143,870,668,614,601,476,495,455,655,541,350,586,862,1122,959,57166
"2573","ENSMUSG00000021007",1931,1708,952,1065,1192,1251,1045,1266,973,985,813,695,970,911,1286,885,41659
"2574","ENSMUSG00000021009",1274,906,627,663,746,985,689,598,621,648,472,442,925,856,2841,1621,60665
"2575","ENSMUSG00000021010",20,36,32,26,20,53,20,43,25,92,20,37,40,25,47,26,824019
"2576","ENSMUSG00000021012",11797,9128,7477,8954,10919,11740,9659,10024,11768,10134,10625,8374,15798,11553,15854,12728,40790
"2577","ENSMUSG00000021013",382,257,222,191,372,256,330,279,322,310,337,271,639,386,784,533,62665
"2578","ENSMUSG00000021018",7275,4629,4313,4949,5463,6114,5147,4995,7665,5707,6959,5140,9824,6726,6603,6009,4603
"2579","ENSMUSG00000021022",1434,907,1024,1283,1424,1290,1312,1390,2178,2126,2156,1790,2599,2447,2284,1768,24008
"2580","ENSMUSG00000021023",3927,2695,2785,2895,3009,2833,2730,2716,4306,3213,3772,2861,3767,2228,3013,1955,82957
"2581","ENSMUSG00000021024",16374,11679,10815,14373,15076,17739,15455,16068,21777,16084,15378,11413,19363,13162,15494,13175,34233
"2582","ENSMUSG00000021025",6821,4152,2029,2234,1968,2242,2514,2684,2636,3853,583,543,789,739,1272,922,3238
"2583","ENSMUSG00000021027",4905,4610,4171,4253,4224,4518,3479,3475,2515,3486,2669,2449,3158,4108,5742,5716,218272
"2584","ENSMUSG00000021028",2014,1751,1754,2035,1528,1994,1199,1277,1605,1500,1272,1116,1629,1293,1531,1300,17592
"2585","ENSMUSG00000021032",20,20,32,24,20,20,20,20,56,32,45,32,177,87,54,70,5009
"2586","ENSMUSG00000021033",2870,2465,1737,1548,1037,1231,1397,1222,1569,1678,1026,874,1140,1288,2963,2544,17559
"2587","ENSMUSG00000021036",12678,9625,9695,10900,8858,9767,7298,7559,6987,6569,5022,4027,6017,4507,4894,4732,83298
"2588","ENSMUSG00000021037",23858,18584,16678,20865,25332,26742,26130,25038,30911,24376,28963,20369,29954,17463,16007,14838,7520
"2589","ENSMUSG00000021038",5397,4218,3463,3582,5607,5491,5531,4608,6204,3887,5117,3801,4963,2740,3429,2782,27389
"2590","ENSMUSG00000021039",9075,6951,8556,7751,8341,8487,8424,7587,9344,7708,9418,6664,10144,8318,7925,7592,23200
"2591","ENSMUSG00000021040",246,193,170,210,199,267,255,235,322,222,260,203,308,228,247,210,8311
"2592","ENSMUSG00000021044",1885,1788,1442,1415,2162,2047,2111,1684,1756,1380,910,715,1001,657,1004,696,101171
"2593","ENSMUSG00000021047",573,422,251,305,167,275,145,243,149,236,202,251,178,176,187,208,124413
"2594","ENSMUSG00000021048",41433,33761,28860,30375,36492,33604,38897,34471,36220,33469,33854,25333,39403,27399,32918,25738,64506
"2595","ENSMUSG00000021051",4068,2496,1802,2003,2229,2602,2442,2256,3154,2323,1725,1926,2411,1534,2756,1546,145365
"2596","ENSMUSG00000021054",508,283,328,450,434,428,263,222,213,158,112,93,352,192,270,212,21481
"2597","ENSMUSG00000021055",20,20,20,20,20,20,20,20,20,20,20,20,46,24,60,51,56841
"2598","ENSMUSG00000021056",360,263,341,335,482,591,541,517,736,540,505,384,492,589,353,555,48061
"2599","ENSMUSG00000021057",443,546,295,224,321,296,201,148,94,181,132,124,180,150,363,247,9263
"2600","ENSMUSG00000021061",558,722,577,391,633,506,1300,1266,3022,3859,4138,3632,6757,4234,7291,4592,130060
"2601","ENSMUSG00000021062",1574,941,964,995,434,365,469,330,1792,1527,2921,2163,4547,3980,4520,3255,24949
"2602","ENSMUSG00000021065",3461,2231,1958,1993,1821,1840,1314,1280,1477,1303,1221,970,1787,1552,2120,1519,238214
"2603","ENSMUSG00000021066",260,262,266,169,191,235,229,165,177,259,144,118,155,207,501,440,73804
"2604","ENSMUSG00000021067",1390,1065,987,1042,1253,1331,1098,781,891,835,578,452,1165,660,1559,1070,21991
"2605","ENSMUSG00000021068",1777,1973,1981,2496,7019,7933,3959,3707,3140,3664,3940,3282,2487,2254,3029,2739,102283
"2606","ENSMUSG00000021069",528,537,347,223,330,322,144,169,131,116,381,203,352,370,406,374,40678
"2607","ENSMUSG00000021070",369,105,35,36,75,70,20,20,20,20,20,20,40,46,33,34,32012
"2608","ENSMUSG00000021072",3817,2877,2786,3401,3307,3732,2445,2210,2502,2132,2271,1600,3255,2766,4274,2799,14946
"2609","ENSMUSG00000021076",6125,4173,4481,4980,5642,6829,4772,4544,5286,4076,4006,3050,5220,3227,4360,3459,26862
"2610","ENSMUSG00000021079",2068,1616,921,1160,1638,2102,1992,2042,2859,1824,2703,2014,3384,2606,2006,1942,13512
"2611","ENSMUSG00000021087",110,114,84,98,179,105,338,250,284,180,150,138,262,111,518,255,197303
"2612","ENSMUSG00000021090",118,210,115,146,203,137,66,90,49,60,61,32,97,126,370,236,88885
"2613","ENSMUSG00000021094",608,264,190,204,161,128,166,128,159,177,138,106,244,285,614,551,14557
"2614","ENSMUSG00000021095",504,240,246,90,34,80,29,23,20,20,20,20,20,20,20,20,2122
"2615","ENSMUSG00000021096",12833,8931,8815,8963,9259,10835,9644,9636,14111,12359,13719,10707,15538,12910,14883,12276,42365
"2616","ENSMUSG00000021097",1453,686,380,347,292,352,583,386,708,687,432,444,821,514,854,460,101960
"2617","ENSMUSG00000021098",190,359,325,384,556,507,562,514,1021,1268,1871,1460,2414,2772,3114,2037,59666
"2618","ENSMUSG00000021102",2625,1598,1160,1543,2106,2153,2300,2018,2945,1982,2526,2154,3859,1911,2567,2021,10219
"2619","ENSMUSG00000021103",4590,3337,2878,3449,4018,4779,3816,3651,5186,4559,4012,3030,5257,4261,5932,4825,150272
"2620","ENSMUSG00000021108",170,255,266,224,403,201,300,98,1001,602,517,376,234,185,447,306,193390
"2621","ENSMUSG00000021109",12297,9176,9166,10995,11075,12360,9754,10083,14010,11793,16085,11251,12706,9635,12954,9426,46156
"2622","ENSMUSG00000021111",27213,18917,14534,19933,19825,23205,17356,19711,20949,18502,20224,17658,23877,18113,19801,17788,54251
"2623","ENSMUSG00000021112",4648,3218,3848,4499,5846,5753,4242,3939,4394,4608,4314,3110,3460,3543,5455,3854,91808
"2624","ENSMUSG00000021113",1008,925,665,895,1012,1057,738,776,759,739,639,582,570,496,627,500,24486
"2625","ENSMUSG00000021114",10723,7552,6930,7019,5643,6105,4531,4304,6845,5226,5758,4294,6718,5971,6570,5483,20914
"2626","ENSMUSG00000021115",8616,6013,5393,5532,6368,7058,6620,5992,7921,6485,5764,4772,8540,6803,8841,7390,67199
"2627","ENSMUSG00000021116",21755,15249,16091,22070,23363,28075,20712,21948,32597,22435,27733,19552,29256,22001,23100,19127,25192
"2628","ENSMUSG00000021118",215,267,255,254,200,113,241,168,129,89,101,115,338,209,356,229,18274
"2629","ENSMUSG00000021120",1338,927,663,752,978,911,739,710,561,445,378,272,450,431,544,454,8988
"2630","ENSMUSG00000021123",67,46,50,44,89,118,42,36,44,47,30,32,75,34,93,90,13752
"2631","ENSMUSG00000021124",2848,2261,1988,2285,3078,3367,3004,2736,3263,2492,3015,2215,2754,2257,2146,2194,16651
"2632","ENSMUSG00000021125",122,159,388,275,828,303,450,162,240,29,116,32,68,34,20,32,25525
"2633","ENSMUSG00000021127",1459,781,2163,1521,1181,1435,1200,1003,650,559,437,307,393,299,412,301,5260
"2634","ENSMUSG00000021130",259,337,327,276,133,102,160,118,108,98,171,127,397,401,469,372,112696
"2635","ENSMUSG00000021131",4209,3248,3645,4725,4460,5225,4927,4902,7677,5319,7374,4948,9092,5493,5012,4845,10320
"2636","ENSMUSG00000021133",7270,4598,4927,4756,4704,5084,4992,4220,4784,3550,3131,2468,4130,3021,4081,3135,90326
"2637","ENSMUSG00000021134",20142,31229,45554,39408,22144,24560,27749,25815,21406,22621,22151,15151,19632,19637,20961,19906,5004
"2638","ENSMUSG00000021135",74,388,256,262,207,150,283,237,107,228,188,149,55,144,123,152,15523
"2639","ENSMUSG00000021136",6097,4522,3578,3685,2487,2561,2826,2742,2891,2569,1938,1550,2127,1820,1150,1185,159607
"2640","ENSMUSG00000021139",28,24,39,20,42,36,23,20,20,21,21,20,27,20,34,23,174046
"2641","ENSMUSG00000021140",2750,2348,1708,1781,2758,2599,2603,2158,2551,2706,2672,2776,3149,2223,3999,2704,140902
"2642","ENSMUSG00000021143",4119,3375,2141,1972,2046,1872,2699,2073,2597,2276,2048,1754,2891,2355,5181,3326,59894
"2643","ENSMUSG00000021144",12928,4238,3878,2143,2107,1504,3593,1669,6036,2664,3860,2663,10289,4126,17527,6593,38929
"2644","ENSMUSG00000021147",3296,2489,2050,2440,2935,3670,2315,2438,2411,2846,2297,1894,2336,2229,2634,2030,68942
"2645","ENSMUSG00000021149",21517,15701,16807,18291,20587,21178,17942,17749,24954,21094,28612,19759,35975,24426,28474,23522,29753
"2646","ENSMUSG00000021156",3600,3007,2377,2435,3333,3372,2615,2399,2583,2708,2525,2253,3436,2684,4444,3850,80498
"2647","ENSMUSG00000021171",8008,7288,6135,6440,6138,7505,4906,5089,4953,5809,4594,3986,5637,5076,8812,6596,109855
"2648","ENSMUSG00000021175",1016,1016,695,841,1368,1010,1774,1820,3371,2605,4428,3194,6385,4212,5529,5377,74418
"2649","ENSMUSG00000021176",404,335,201,164,311,255,270,253,289,365,267,231,369,611,829,622,191395
"2650","ENSMUSG00000021177",4813,3392,2248,2268,2614,2577,3203,3178,3776,3754,4103,3330,5869,5295,6920,6621,70703
"2651","ENSMUSG00000021178",19755,15209,13819,17520,20160,22989,22286,21940,29777,21807,23794,17031,25893,15992,17289,14714,13252
"2652","ENSMUSG00000021179",4093,4180,3450,4347,5000,5675,4970,4694,4615,4355,4958,3771,4578,2294,3312,2521,34202
"2653","ENSMUSG00000021180",1440,1199,1070,1111,1677,1733,1603,1684,2047,1967,1611,1304,1344,1411,1529,1274,178545
"2654","ENSMUSG00000021182",11389,11243,5704,5479,7605,7424,8348,6845,6532,7316,8859,7423,9261,9391,8872,7226,117534
"2655","ENSMUSG00000021185",1731,1195,995,1163,622,544,1370,1066,1949,1322,1012,615,370,250,93,70,117925
"2656","ENSMUSG00000021186",212,88,343,114,379,303,216,102,44,36,20,20,104,100,278,197,72491
"2657","ENSMUSG00000021187",34,22,62,48,72,74,53,48,113,59,161,118,281,274,453,272,73081
"2658","ENSMUSG00000021188",4626,4814,4193,4222,4014,4356,2811,2839,2076,2671,1942,1666,1721,2028,2776,2664,79225
"2659","ENSMUSG00000021189",11779,9304,6997,7307,6916,8185,5883,6795,8165,7721,7014,5827,6160,6442,5694,4625,39346
"2660","ENSMUSG00000021190",7897,6635,5338,5276,4188,5240,3213,3223,2258,2594,979,881,2128,1969,4414,3525,45730
"2661","ENSMUSG00000021192",4095,3656,3243,3515,5178,5207,3806,3712,3163,3147,2613,1994,2711,2470,3044,2742,28773
"2662","ENSMUSG00000021193",22424,18114,13748,13122,15244,16640,12773,12960,13802,14720,14051,10927,17550,15036,18529,17831,32367
"2663","ENSMUSG00000021194",478,556,204,438,338,429,406,527,476,265,332,211,331,195,183,156,10060
"2664","ENSMUSG00000021196",56414,84995,42373,34218,56795,70678,55241,65268,25909,55093,8547,11238,4907,12869,5234,4970,69010
"2665","ENSMUSG00000021198",20,22,25,20,134,158,28,37,38,32,95,81,139,109,220,150,235207
"2666","ENSMUSG00000021200",20,83,20,59,72,106,35,24,20,20,20,20,48,38,20,26,34860
"2667","ENSMUSG00000021203",577,395,365,209,322,360,268,271,329,535,339,288,1875,1737,2422,2361,17669
"2668","ENSMUSG00000021207",20,20,20,31,24,23,27,20,20,20,20,20,20,20,20,20,12467
"2669","ENSMUSG00000021209",306,126,114,149,207,189,136,115,203,248,389,294,778,656,2042,2640,81549
"2670","ENSMUSG00000021211",20,20,20,34,52,33,23,39,74,60,44,33,20,20,20,20,11258
"2671","ENSMUSG00000021213",40,97,62,170,133,150,138,164,382,315,218,196,25,40,20,20,14447
"2672","ENSMUSG00000021214",33,50,34,60,66,92,34,56,40,42,26,20,20,20,20,20,18040
"2673","ENSMUSG00000021215",7157,5025,3626,3969,5802,6011,4666,5282,5423,5677,5369,4445,6295,3978,4632,3270,36203
"2674","ENSMUSG00000021217",470,280,281,217,331,361,351,277,607,530,509,454,278,236,32,54,75436
"2675","ENSMUSG00000021218",50530,35052,32476,37333,40686,42373,37122,37400,50040,43326,48071,35875,56649,44261,48774,41351,29809
"2676","ENSMUSG00000021219",20,29,20,20,24,22,20,20,20,20,20,20,20,20,20,20,573765
"2677","ENSMUSG00000021221",78,106,60,58,79,40,52,62,53,51,53,24,29,25,20,28,273972
"2678","ENSMUSG00000021222",7056,5728,4078,4380,4325,3871,5302,4976,7106,6024,7138,5014,9927,6334,8799,8142,21455
"2679","ENSMUSG00000021223",54,58,29,22,20,26,51,43,70,70,30,37,71,55,58,33,28749
"2680","ENSMUSG00000021224",2229,1734,1700,1673,2071,2219,1845,1575,1669,1646,1527,1236,1659,1394,1801,1471,127901
"2681","ENSMUSG00000021226",221,151,197,142,138,85,146,111,195,113,175,105,464,439,688,556,6013
"2682","ENSMUSG00000021228",77,34,32,25,53,36,74,84,20,33,20,20,20,20,20,20,8259
"2683","ENSMUSG00000021234",249,242,218,227,421,358,351,306,280,221,298,218,207,261,189,188,16525
"2684","ENSMUSG00000021235",4102,2901,2627,2780,3529,3608,3787,3107,3360,2685,2278,1910,2474,1998,2299,2187,12140
"2685","ENSMUSG00000021236",753,876,627,756,1004,1209,871,931,1123,826,681,656,660,736,824,560,35173
"2686","ENSMUSG00000021238",4001,2609,2388,2054,2771,3204,2233,2357,2072,2498,1278,989,1072,1508,2558,1892,20288
"2687","ENSMUSG00000021239",20,20,20,20,20,20,20,20,22,20,20,48,40,28,20,20,25696
"2688","ENSMUSG00000021240",6205,4212,1868,1729,834,786,908,893,2760,3526,3990,3893,3692,3042,2424,1803,15950
"2689","ENSMUSG00000021241",1538,1316,963,1236,1123,1461,1172,977,1165,1096,906,770,1086,941,1174,932,1838
"2690","ENSMUSG00000021242",56514,27892,25650,21922,12721,16844,9348,8834,8080,8212,6025,4854,8370,7554,10882,9153,18591
"2691","ENSMUSG00000021243",4815,3495,3527,3850,4509,5162,4315,4381,5807,4540,5359,4126,7647,4645,4926,4026,12407
"2692","ENSMUSG00000021244",6540,5466,3416,3378,4393,5342,3839,3828,4168,5030,4327,6224,4307,4166,5556,4687,74195
"2693","ENSMUSG00000021245",6628,5469,3244,3327,5204,5275,4970,5521,4093,5473,3658,3154,3163,2980,3715,2857,36080
"2694","ENSMUSG00000021248",6980,4679,4093,4681,4172,4603,3917,3870,4454,3890,3688,2944,4622,3940,4317,3436,34234
"2695","ENSMUSG00000021250",128,185,11300,14523,54,52,48,24,50,20,28,51,44,135,94,108,3384
"2696","ENSMUSG00000021252",3634,2365,1783,2877,2882,3131,2670,2904,3571,2414,2903,2255,3332,2099,2357,1842,9103
"2697","ENSMUSG00000021253",36,20,20,20,20,20,20,20,20,20,20,20,26,20,51,29,22297
"2698","ENSMUSG00000021254",2617,2153,1541,1547,2195,2064,1617,1545,1273,1183,1069,925,1516,1321,1695,1536,49927
"2699","ENSMUSG00000021255",84107,58091,41346,42289,44419,46824,32941,29874,14699,16368,2480,2220,942,2615,329,313,160512
"2700","ENSMUSG00000021256",270,265,152,277,561,420,548,433,251,159,63,48,127,68,348,202,13392
"2701","ENSMUSG00000021257",949,864,402,483,912,933,772,852,787,1009,531,591,611,628,897,608,25959
"2702","ENSMUSG00000021258",2814,1591,1188,1067,1075,1250,1186,1015,2359,1900,2049,3322,2337,2010,1867,1621,23781
"2703","ENSMUSG00000021259",28,28,38,20,20,20,20,20,20,20,20,20,20,28,35,20,27854
"2704","ENSMUSG00000021260",100,55,36,20,20,20,20,20,20,20,20,20,27,41,60,72,24600
"2705","ENSMUSG00000021262",2191,862,868,598,623,507,873,575,1452,856,908,686,1622,1019,2192,1302,133797
"2706","ENSMUSG00000021263",20,51,20,20,20,20,20,20,20,20,20,21,20,20,20,20,23601
"2707","ENSMUSG00000021264",8850,6187,6597,6216,7339,7020,8438,7249,9896,6556,7983,5767,8429,5346,7936,4483,27176
"2708","ENSMUSG00000021265",44,66,73,59,24,61,45,68,52,47,83,48,86,38,61,45,10011
"2709","ENSMUSG00000021266",9482,6314,5624,5803,7145,7239,7488,6645,9411,6091,8541,6423,12110,7721,9436,7840,34145
"2710","ENSMUSG00000021268",4288,8227,3279,2486,3134,3983,3275,3946,2753,3787,5706,5391,6957,9230,14955,9436,31277
"2711","ENSMUSG00000021270",346994,285636,281440,263267,299941,327383,238534,246063,295363,256697,332956,218563,293768,191526,173770,136814,12124
"2712","ENSMUSG00000021271",1936,1595,874,849,1049,920,789,708,479,608,412,301,440,497,1246,1160,19744
"2713","ENSMUSG00000021273",15048,10754,7991,12008,12371,12543,12367,13596,15218,13312,14385,10457,11287,7391,8047,5665,34429
