"","genes","SRR7624365","SRR7624366","SRR7624367","SRR7624368","SRR7624369","SRR7624370","SRR7624371","SRR7624372","SRR7624373","SRR7624374","SRR7624375","SRR7624376","SRR7624377","SRR7624378","SRR7624379","SRR7624380","width"
"20057","ENSMUSG00000105005",20,20,20,20,43,31,21,20,27,20,20,20,20,20,20,20,265
"20058","ENSMUSG00000105006",20,20,20,20,20,20,20,20,20,20,20,20,20,32,32,37,1159
"20059","ENSMUSG00000105019",20,20,20,20,20,20,20,20,20,20,20,21,20,20,20,20,328
"20060","ENSMUSG00000105023",23,93,25,20,20,20,20,26,20,20,20,20,20,20,20,20,2146
"20061","ENSMUSG00000105031",20,27,20,20,27,20,20,20,20,21,20,20,20,20,20,20,204
"20062","ENSMUSG00000105039",23,20,20,29,36,41,119,59,190,31,243,121,476,123,302,155,34502
"20063","ENSMUSG00000105044",705,587,638,858,1459,1598,780,822,378,375,207,108,194,158,215,125,645
"20064","ENSMUSG00000105047",20,20,24,20,20,20,20,20,20,20,20,20,20,20,20,20,157
"20065","ENSMUSG00000105059",37,32,20,23,20,26,21,20,20,20,20,20,20,32,20,20,1372
"20066","ENSMUSG00000105063",20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,25,2504
"20067","ENSMUSG00000105065",20,20,20,20,20,20,20,20,22,20,20,20,20,20,20,20,2119
"20068","ENSMUSG00000105071",45,73,121,126,86,100,108,87,51,90,114,118,42,113,165,71,4504
"20069","ENSMUSG00000105078",20,32,20,20,20,20,20,20,20,20,20,20,20,20,20,20,44839
"20070","ENSMUSG00000105081",20,20,20,20,20,20,20,20,20,20,21,20,20,20,20,20,226
"20071","ENSMUSG00000105082",20,20,20,20,33,20,20,20,30,20,28,24,30,20,41,51,3950
"20072","ENSMUSG00000105084",21,61,31,52,33,57,46,33,33,46,23,34,24,26,49,39,2106
"20073","ENSMUSG00000105086",20,44,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1754
"20074","ENSMUSG00000105093",20,35,32,52,32,20,28,21,20,25,23,44,20,23,27,21,895
"20075","ENSMUSG00000105095",21,45,20,30,20,20,22,20,20,20,20,20,20,20,22,20,822
"20076","ENSMUSG00000105104",20,30,20,23,28,23,42,33,20,20,34,37,20,25,24,20,1334
"20077","ENSMUSG00000105107",27,24,24,25,28,20,37,50,39,71,20,26,20,20,20,20,2818
"20078","ENSMUSG00000105112",115,41,32,50,53,51,33,46,34,26,20,20,20,22,20,20,553
"20079","ENSMUSG00000105127",20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,20,777
"20080","ENSMUSG00000105128",50,97,63,66,43,20,56,31,20,119,20,20,20,20,20,20,3470
"20081","ENSMUSG00000105135",68,92,113,153,101,105,102,71,63,103,48,76,65,69,71,64,1095
"20082","ENSMUSG00000105137",36,64,32,60,26,36,20,40,20,40,20,31,20,32,38,50,2121
"20083","ENSMUSG00000105140",33,37,20,20,62,24,62,48,69,38,53,41,21,43,74,44,2789
"20084","ENSMUSG00000105143",20,20,20,20,20,20,20,20,31,20,20,20,20,20,20,20,154
"20085","ENSMUSG00000105148",20,20,20,23,20,20,20,20,20,20,20,20,20,20,20,20,2437
"20086","ENSMUSG00000105149",24,74,61,62,42,45,39,44,20,40,35,52,28,29,26,41,815
"20087","ENSMUSG00000105153",20,26,23,20,35,50,48,47,49,67,20,20,20,20,20,20,17023
"20088","ENSMUSG00000105156",20,50,20,20,23,26,25,20,20,41,36,26,20,20,24,20,296
"20089","ENSMUSG00000105160",20,20,20,20,20,20,20,20,20,30,20,20,20,20,20,20,1310
"20090","ENSMUSG00000105161",399,229,171,197,164,248,176,180,165,198,149,186,219,212,261,177,1607
"20091","ENSMUSG00000105167",364,944,503,566,573,726,609,661,621,687,834,691,441,607,367,553,64
"20092","ENSMUSG00000105168",20,20,20,20,20,20,20,20,20,20,26,20,20,20,20,20,7542
"20093","ENSMUSG00000105174",45,35,20,20,20,22,39,20,22,42,27,20,20,20,30,21,1295
"20094","ENSMUSG00000105176",747,2250,928,1020,1016,1073,1042,1086,395,1120,765,763,304,692,684,644,5342
"20095","ENSMUSG00000105179",26,20,34,39,22,34,32,20,32,20,21,74,20,24,45,38,3304
"20096","ENSMUSG00000105184",20,61,29,20,20,20,20,20,20,20,20,20,20,20,20,20,2574
"20097","ENSMUSG00000105189",23,30,20,20,20,20,20,20,20,24,20,20,20,20,20,20,533
"20098","ENSMUSG00000105198",38,41,138,116,75,47,71,65,32,55,76,59,37,69,129,77,1089
"20099","ENSMUSG00000105199",35,150,77,100,67,80,78,92,70,128,105,180,66,192,248,198,2864
"20100","ENSMUSG00000105201",176,331,311,346,246,246,186,210,163,200,266,257,141,265,287,278,2470
"20101","ENSMUSG00000105202",20,20,20,20,20,20,20,20,20,20,20,20,20,20,56,32,3698
"20102","ENSMUSG00000105203",20,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1376
"20103","ENSMUSG00000105217",20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,21,1726
"20104","ENSMUSG00000105228",20,20,20,20,20,39,20,20,20,20,20,20,20,20,20,20,1344
"20105","ENSMUSG00000105229",20,20,20,44,29,48,20,31,22,34,20,25,20,20,26,29,1422
"20106","ENSMUSG00000105230",20,20,20,20,20,21,20,20,20,20,20,20,20,20,20,20,940
"20107","ENSMUSG00000105233",20,20,20,25,20,20,20,20,20,20,20,20,20,20,20,20,208
"20108","ENSMUSG00000105239",20,20,20,20,20,20,20,20,20,25,20,23,20,20,20,20,19178
"20109","ENSMUSG00000105259",20,20,20,20,24,20,20,20,20,20,20,20,20,20,36,20,1774
"20110","ENSMUSG00000105260",371,259,114,84,63,48,72,90,76,84,105,94,106,260,167,179,4815
"20111","ENSMUSG00000105264",20,20,20,20,20,20,20,20,20,20,55,28,23,20,53,66,22657
"20112","ENSMUSG00000105265",174,250,310,303,357,435,338,318,186,303,92,104,36,142,84,84,578350
"20113","ENSMUSG00000105270",20,20,29,20,22,26,25,20,20,30,25,24,20,26,20,20,2958
"20114","ENSMUSG00000105271",20,20,20,20,21,28,20,20,23,24,34,24,29,20,20,20,8314
"20115","ENSMUSG00000105272",33,50,43,40,20,21,20,20,20,20,20,20,20,20,20,20,2032
"20116","ENSMUSG00000105284",35,24,22,20,20,41,35,34,20,32,20,20,20,20,20,20,631
"20117","ENSMUSG00000105286",20,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,691
"20118","ENSMUSG00000105293",20,20,20,20,20,21,20,20,20,20,20,20,20,20,57,39,3616
"20119","ENSMUSG00000105304",30,63,32,62,55,49,48,47,20,52,21,33,20,20,49,45,6071
"20120","ENSMUSG00000105326",20,20,20,27,20,20,20,20,20,20,20,20,20,20,20,20,1212
"20121","ENSMUSG00000105341",22,50,77,107,72,67,45,22,32,112,71,86,70,97,148,116,2262
"20122","ENSMUSG00000105345",36,20,20,20,34,20,20,22,41,36,34,26,43,44,104,94,2439
"20123","ENSMUSG00000105349",43,63,43,46,65,57,81,66,63,57,84,58,38,42,66,41,705
"20124","ENSMUSG00000105350",20,20,52,56,49,44,51,35,51,48,62,52,41,77,34,88,1683
"20125","ENSMUSG00000105356",20,20,20,20,20,26,20,20,20,20,20,20,20,20,22,20,2146
"20126","ENSMUSG00000105358",20,20,20,20,20,20,20,20,20,20,20,37,27,51,44,52,5241
"20127","ENSMUSG00000105368",25,34,24,31,29,49,27,28,24,36,31,20,20,26,35,20,1261
"20128","ENSMUSG00000105375",20,20,60,21,33,40,20,24,20,20,20,20,20,20,20,20,982
"20129","ENSMUSG00000105378",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,3583
"20130","ENSMUSG00000105382",42,74,60,59,62,65,78,57,20,54,26,20,20,22,39,20,1606
"20131","ENSMUSG00000105388",556,361,383,372,396,542,366,312,444,356,318,214,429,257,367,329,321
"20132","ENSMUSG00000105395",20,28,20,20,25,29,23,20,20,31,20,20,20,20,31,20,352
"20133","ENSMUSG00000105402",30,37,20,20,54,32,57,71,20,40,20,20,20,20,48,32,16844
"20134","ENSMUSG00000105404",31,20,20,20,21,20,20,20,20,37,22,34,31,37,39,76,329
"20135","ENSMUSG00000105408",41,27,20,36,72,52,38,34,55,88,83,106,71,78,67,68,580
"20136","ENSMUSG00000105412",20,25,20,20,20,20,20,21,20,20,20,20,20,20,20,20,1258
