external_gene_name,ensembl_gene_id,SRR7624365,SRR7624366,SRR7624367,SRR7624368,SRR7624369,SRR7624370,SRR7624371,SRR7624372,SRR7624373,SRR7624374,SRR7624375,SRR7624376,SRR7624377,SRR7624378,SRR7624379,SRR7624380
Edc3,ENSMUSG00000038957,4051,2595,1727,2184,2282,3127,2131,2199,2690,2733,2346,2882,2796,2014,2094,1854
Clk3,ENSMUSG00000032316,3798,3841,2971,3511,2427,3234,2291,2533,1780,2363,1544,1447,2074,1275,2294,1704
Gm17231,ENSMUSG00000091908,13,18,18,24,24,34,21,17,16,23,11,28,10,16,21,12
Arid3b,ENSMUSG00000004661,5263,3615,3335,3007,4118,4770,4266,4027,4767,4407,3541,3493,4348,3158,5384,4526
Ubl7,ENSMUSG00000055720,2264,1757,1641,1842,2508,2572,2769,2302,2341,1935,1813,1353,2320,866,1840,1225
Sema7a,ENSMUSG00000038264,425,490,229,276,506,517,348,330,222,202,116,78,132,73,64,39
Gm17322,ENSMUSG00000097604,268,256,161,334,458,388,658,632,563,302,71,84,65,35,62,26
Cyp11a1,ENSMUSG00000032323,26,60,32,42,189,421,188,290,127,108,40,32,26,22,19,28
Ccdc33,ENSMUSG00000037716,0,24,4,22,6,6,29,33,113,89,120,79,129,176,111,113
Gm16130,ENSMUSG00000086624,2,3,0,0,2,0,0,4,10,2,4,11,5,5,9,2
Stra6,ENSMUSG00000032327,26,16,18,40,0,4,8,6,35,57,214,179,346,348,150,94
Gm16131,ENSMUSG00000085753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Islr,ENSMUSG00000037206,10,5,0,13,0,6,4,0,4,0,6,0,8,6,2,0
Gm47174,ENSMUSG00000110969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Islr2,ENSMUSG00000051243,1249,1264,619,1475,798,1497,911,963,235,121,91,88,104,70,72,46
1600029O15Rik,ENSMUSG00000057818,7,15,18,11,15,25,5,20,1,6,3,0,3,0,4,0
Pml,ENSMUSG00000036986,10093,10414,5826,7040,11961,11995,14710,12155,12141,11920,11262,10368,9963,6831,9611,7923
Mir6385,ENSMUSG00000098886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stoml1,ENSMUSG00000032333,3045,2527,1754,1594,2104,2579,2975,2486,3346,2951,3833,2709,3391,2911,2530,2153
Loxl1,ENSMUSG00000032334,120,92,139,85,81,100,76,89,124,110,92,123,343,220,494,238
Tbc1d21,ENSMUSG00000036244,0,1,2,3,0,0,3,0,8,0,8,1,4,4,7,4
1700072B07Rik,ENSMUSG00000100487,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6,0
4930461G14Rik,ENSMUSG00000097651,633,849,662,801,583,747,682,768,625,651,232,265,145,164,58,75
Insyn1,ENSMUSG00000066607,241,294,393,335,363,370,124,108,46,32,44,6,70,40,43,18
Cd276,ENSMUSG00000035914,1232,973,763,833,1638,1620,1123,1158,2140,1981,3827,3337,5795,3233,4488,3089
Gm10657,ENSMUSG00000103486,0,1,7,0,1,0,3,1,3,4,2,19,2,19,15,5
Nptn,ENSMUSG00000032336,6987,4752,4564,5559,4972,6125,3446,3436,3533,3077,2661,1894,2483,1551,2353,1406
Rec114,ENSMUSG00000074269,1807,1114,1048,985,959,1094,1080,924,1245,1078,636,507,436,360,113,72
Gm20620,ENSMUSG00000093473,1,0,1,1,1,1,0,0,3,0,0,2,1,0,0,2
Hcn4,ENSMUSG00000032338,98,42,54,22,17,12,8,0,12,10,18,9,85,61,131,116
Neo1,ENSMUSG00000032340,18231,15241,11991,12133,8655,8756,7668,6903,5707,7599,3901,3718,3756,4221,4841,4506
Gm47271,ENSMUSG00000111846,14,34,18,18,10,8,13,19,7,16,5,15,3,4,7,5
Gm7589,ENSMUSG00000066592,24,19,20,9,21,24,9,12,34,12,8,4,14,16,23,16
Gm33053,ENSMUSG00000110789,0,0,1,2,2,0,2,2,0,5,2,3,8,0,2,0
Adpgk,ENSMUSG00000025236,6915,7996,4098,4383,5419,5800,4916,5046,5112,6021,4513,4174,5987,4962,5375,4846
Bbs4,ENSMUSG00000025235,1450,1238,905,1042,1280,1247,1139,1051,1073,1128,885,810,1518,1721,1641,1516
Arih1,ENSMUSG00000025234,16094,11298,9960,11913,11039,12241,8719,9012,9903,8956,8226,7394,10108,8886,13393,10309
Rps11-ps1,ENSMUSG00000090516,445,351,319,410,428,412,437,360,460,344,456,381,476,390,429,403
Gm33180,ENSMUSG00000111852,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Tmem202,ENSMUSG00000049526,4,5,8,4,8,3,0,4,0,2,2,3,0,1,2,1
Hexa,ENSMUSG00000025232,19977,16218,10927,7927,3713,4516,1841,1829,1838,2020,1881,1316,3679,3543,7005,5748
